"subject","predicate","object"
"http://dbpedia.org/resource/Fokker","http://dbpedia.org/property/keyPeople","http://dbpedia.org/resource/Anthony_Fokker"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/EarlyBirdsOfAviation"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/AviationPioneers"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/DutchAviators"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/AerospaceEngineers"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2002/07/owl#sameAs","http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000000650c2"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2002/07/owl#sameAs","http://umbel.org/umbel/ne/wikipedia/Anthony_Fokker"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2000/01/rdf-schema#comment","Антон Фоккер — голландский авиаконструктор."
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2000/01/rdf-schema#comment","Anton Herman Gerard (Anthony) Fokker – holenderski pionier lotnictwa, konstruktor i producent samolotów. W 1925 skonstruował pierwszy trójsilnikowy samolot pasażerski . W 1911 skonstruował swój pierwszy samolot de Spin ("""Pająk"""). Ta konstrukcja wkrótce zakończyła swój żywot na drzewie, jednakże w kolejnych wersjach Spina Fokker poprawiał wady konstrukcji i udoskonalał swój projekt. Właśnie w drugiej wersji Spina Anthony Fokker zdobył licencję pilota."
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2000/01/rdf-schema#comment","Anton Herman Gerard Fokker conhecido como holandês voador, foi um empresário dos Países Baixos, pioneiro da aviação e industrial do ramo aeronáutico."
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2000/01/rdf-schema#comment","Anthony Fokker oli hollantilainen lentokonesuunnittelija, joka suunnitteli useita ilmailun historian merkittäviä lentokoneita. Suomen ilmailussa Fokker D. XXI-hävittäjä on merkittävin Fokkerin tuotteista. Fokker perusti 21. heinäkuuta 1919 lentokonetehtaan."
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2000/01/rdf-schema#comment","Anton Herman Gerard 'Anthony' Fokker var en nederlandsk flykonstruktør. Han ble født i Blitar på Java i daværende Nederlandsk Østindia. I 1911 flyttet han til Berlin, og konstruerte som tyveåring sitt første fly De Spin. 1912 slo han seg ned i Schwerin i Mecklenburg, og bygget en flyplass med flyverskole i Görries."
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2000/01/rdf-schema#comment","Anton Herman Gerard 'Anthony' Fokker war ein berühmter niederländischer Flugzeughersteller."
